iter	MultiClass
0	0.9979748931
1	0.9103993899
2	0.8315935491
3	0.7657080487
4	0.702237207
5	0.649156245
6	0.600208426
7	0.5552651154
8	0.5167716034
9	0.481613453
10	0.4516222258
11	0.4255418106
12	0.4009909488
13	0.3808031641
14	0.3620443806
15	0.3434251968
16	0.3292333415
17	0.3165892998
18	0.3019455529
19	0.2918358614
20	0.2827975033
21	0.2743323322
22	0.2665720372
23	0.2589791606
24	0.2529399868
25	0.2473411023
26	0.2416940512
27	0.2353404759
28	0.2309520191
29	0.2271430118
30	0.2231647842
31	0.2197277497
32	0.2156794475
33	0.2126656068
34	0.2101071514
35	0.2075796351
36	0.2051999806
37	0.2027971218
38	0.20063013
39	0.1987337676
40	0.1970809631
41	0.1953214536
42	0.1938669628
43	0.1924600013
44	0.1913048377
45	0.1901696264
46	0.1890354918
47	0.1880265641
48	0.186966679
49	0.1859204177
50	0.1847942376
51	0.1839439718
52	0.183292569
53	0.1824440061
54	0.1816119785
55	0.1810836291
56	0.1804260956
57	0.1798124658
58	0.1792508919
59	0.1787042603
60	0.1781113518
61	0.1775590729
62	0.1771226839
63	0.1767391858
64	0.1763530839
65	0.1759646747
66	0.1756524048
67	0.1753773476
68	0.1750246129
69	0.1746716145
70	0.1743996885
71	0.1740905059
72	0.1738214256
73	0.1734419927
74	0.1731928426
75	0.1729568767
76	0.1727018486
77	0.1724120909
78	0.1721766634
79	0.1719724717
80	0.1717613253
81	0.1715156251
82	0.1712913823
83	0.1711050993
84	0.1709057308
85	0.1707566495
86	0.1705947024
87	0.1703796227
88	0.1702162584
89	0.1699990252
90	0.1698241576
91	0.1696345785
92	0.1695096683
93	0.1693830003
94	0.1692374128
95	0.1690328695
96	0.1688823488
97	0.1687331796
98	0.1686133344
99	0.1684842822
100	0.168273751
101	0.16816553
102	0.1680350495
103	0.167915457
104	0.1677801971
105	0.1676154375
106	0.1674986906
107	0.1673752746
108	0.1672553415
109	0.1671515043
110	0.1670268468
111	0.1669161537
112	0.1668474196
113	0.1667474168
114	0.1666344384
115	0.1665204273
116	0.1664095803
117	0.1662959098
118	0.1661579801
119	0.1660465839
120	0.1658974476
121	0.1657919073
122	0.1656922011
123	0.1655633357
124	0.1654919098
125	0.1654322179
126	0.1653095931
127	0.1652084256
128	0.1651279904
129	0.1650199232
130	0.1649480688
131	0.1648691938
132	0.1647747174
133	0.164669331
134	0.1645951254
135	0.1645154154
136	0.1644127317
137	0.1643290994
138	0.1641854675
139	0.1640146211
140	0.163932483
141	0.1638040021
142	0.1636894965
143	0.1635815282
144	0.1634739004
145	0.1633804897
146	0.1633112392
147	0.1632655996
148	0.163198151
149	0.1631115742
150	0.1630100661
151	0.1629544833
152	0.1628754545
153	0.1627404803
154	0.1626343139
155	0.1625648656
156	0.1624917038
157	0.1624028746
158	0.1622928737
159	0.1621719518
160	0.1620762009
161	0.1620112133
162	0.1619414465
163	0.1618664608
164	0.1617880692
165	0.1616987566
166	0.1616460964
167	0.1615377984
168	0.1614573303
169	0.1613684133
170	0.1612823858
171	0.1612064443
172	0.161114363
173	0.1610374656
174	0.1609460216
175	0.1608626969
176	0.1607507073
177	0.1606718433
178	0.1606208201
179	0.1605304857
180	0.160472343
181	0.1603845356
182	0.1602882574
183	0.1601871009
184	0.1601052924
185	0.1599975328
186	0.1599257663
187	0.1598710845
188	0.1597726418
189	0.1597146089
190	0.1596232747
191	0.159503847
192	0.1594080742
193	0.1593316602
194	0.1592180776
195	0.1591044619
196	0.1590136991
197	0.1589267817
198	0.1588353926
199	0.1587688668
200	0.1586535702
201	0.1585762883
202	0.1584824052
203	0.1584093422
204	0.1583076254
205	0.1582163132
206	0.1581227158
207	0.1580928973
208	0.1580490815
209	0.1579863463
210	0.1579151181
211	0.1578220151
212	0.1577361524
213	0.1576522893
214	0.1575496276
215	0.1574703681
216	0.1573793965
217	0.1573246597
218	0.1572524538
219	0.1571800281
220	0.1571170841
221	0.1570367807
222	0.1569607074
223	0.156892182
224	0.1567691836
225	0.1566987026
226	0.1566452952
227	0.1565588832
228	0.1564522992
229	0.1563722815
230	0.1563004601
231	0.1562506784
232	0.1562043686
233	0.1561063105
234	0.1560342363
235	0.1559831472
236	0.1559469563
237	0.155839812
238	0.1557595087
239	0.1557192197
240	0.155630874
241	0.1555769612
242	0.1555219608
243	0.1554589399
244	0.1553942599
245	0.1553249655
246	0.155239795
247	0.1551412974
248	0.1550622685
249	0.1549888979
250	0.1548926087
251	0.1548205675
252	0.1547318702
253	0.1546460515
254	0.1545855685
255	0.1545176695
256	0.1544640204
257	0.1543447465
258	0.1542831429
259	0.1542271976
260	0.1541995325
261	0.1541215804
262	0.1540542197
263	0.1539845407
264	0.153933133
265	0.1538395355
266	0.1537667582
267	0.1536968705
268	0.1536413427
269	0.1535698289
270	0.1535040503
271	0.1534249335
272	0.1533517387
273	0.1532756214
274	0.1532218405
275	0.1531636868
276	0.1530995672
277	0.1530303937
278	0.1529248754
279	0.1528489449
280	0.1527276824
281	0.1526495435
282	0.152556803
283	0.1524826194
284	0.1524097102
285	0.1523552921
286	0.1522678693
287	0.1521486064
288	0.152051603
289	0.1519709481
290	0.1518979181
291	0.151809001
292	0.1517632845
293	0.1516811793
294	0.1516207074
295	0.1515720024
296	0.1515042901
297	0.1514267995
298	0.1513475069
299	0.1512639845
300	0.1511972939
301	0.1511114422
302	0.1510390934
303	0.1509615918
304	0.1508826838
305	0.1508089177
306	0.1507284606
307	0.1506777011
308	0.1506233269
309	0.1505380685
310	0.1504734325
311	0.1503908329
312	0.1503129357
313	0.1502173606
314	0.1501204671
315	0.1500750911
316	0.1499889647
317	0.149919099
318	0.1498316212
319	0.1497460003
320	0.1496734757
321	0.1496115754
322	0.1495642219
323	0.1494882034
324	0.1494022529
325	0.1493272562
326	0.1492387677
327	0.1491825586
328	0.149124361
329	0.1490577474
330	0.1489906393
331	0.1489186971
332	0.1488393496
333	0.1487707473
334	0.1486739307
335	0.1486172493
336	0.1485485701
337	0.1484740679
338	0.1483905783
339	0.148315318
340	0.1482295872
341	0.1481573263
342	0.1480603009
343	0.1479984446
344	0.1479277548
345	0.147876446
346	0.1478019877
347	0.1477183554
348	0.1476441058
349	0.147583513
350	0.1475013859
351	0.1474311795
352	0.1473530407
353	0.1472815269
354	0.1472341733
355	0.1471549247
356	0.1470688972
357	0.1469947466
358	0.1469160913
359	0.1468575091
360	0.1468269435
361	0.1467724265
362	0.1466994405
363	0.1466469011
364	0.1465651695
365	0.1465012366
366	0.1464289648
367	0.1463713384
368	0.1462979569
369	0.1462133247
370	0.1461488645
371	0.1460214274
372	0.1459737772
373	0.1458565688
374	0.1458012607
375	0.1457245062
376	0.145662551
377	0.1456135164
378	0.145550935
379	0.1455067347
380	0.145433419
381	0.1453834506
382	0.1453426782
383	0.1452938523
384	0.1452618145
385	0.145206858
386	0.1451364868
387	0.1450830355
388	0.1449658162
389	0.1449173639
390	0.1448621547
391	0.1447710183
392	0.1447004274
393	0.1446298915
394	0.1445419743
395	0.1444435535
396	0.1443727429
397	0.1442998887
398	0.1442446575
399	0.1441748028
400	0.1441023881
401	0.1440353789
402	0.1439268612
403	0.1438609398
404	0.1437721546
405	0.1436807325
406	0.1436329834
407	0.1435906398
408	0.1434947571
409	0.1434302969
410	0.1433240315
411	0.1432411023
412	0.1431797734
413	0.1431007556
414	0.1430012252
415	0.1429399292
416	0.1428909056
417	0.1428150081
418	0.1427507347
419	0.1426812205
420	0.142607784
421	0.1425446532
422	0.1424531542
423	0.1423864307
424	0.1423229484
425	0.1422510391
426	0.1421669892
427	0.1420702495
428	0.1419995927
429	0.1419351655
430	0.1418838786
431	0.1418056078
432	0.1417300399
433	0.1416639207
434	0.1415912423
435	0.1415107851
436	0.1414498408
437	0.1413852927
438	0.1413186461
439	0.1412542958
440	0.1411733772
441	0.1410994792
442	0.1410354915
443	0.1409916977
444	0.1409379497
445	0.1408589099
446	0.1408007892
447	0.1407028738
448	0.1406623321
449	0.1405820947
450	0.1405078123
451	0.1404410888
452	0.1403566104
453	0.1403062025
454	0.1402446758
455	0.1402070017
456	0.1401247537
457	0.1400358916
458	0.1399697944
459	0.1399167276
460	0.1398513115
461	0.1397976515
462	0.1397338065
463	0.1396787951
464	0.1396396158
465	0.1395609605
466	0.139459848
467	0.1394185262
468	0.1393420573
469	0.1392807943
470	0.1392333749
471	0.1391760452
472	0.1391119915
473	0.1390580238
474	0.1389694803
475	0.1388999222
476	0.1388227172
477	0.1387832522
478	0.1387190667
479	0.1386527607
480	0.13863405
481	0.1385494069
482	0.1384858256
483	0.1383942387
484	0.1383513349
485	0.1382828425
486	0.1382318742
487	0.1381759948
488	0.1381035691
489	0.1380226945
490	0.1379375789
491	0.1378814248
492	0.1378215462
493	0.1377557236
494	0.1376812543
495	0.1376238038
496	0.1375595304
497	0.1374966413
498	0.1374152393
499	0.1373545366
500	0.1372723985
501	0.1371811852
502	0.1371223833
503	0.1370683936
504	0.1370047354
505	0.1369439229
506	0.1368918889
507	0.1368295822
508	0.136769275
509	0.1366883784
510	0.1366297852
511	0.1365654459
512	0.1365325511
513	0.1364970524
514	0.1364447327
515	0.1363819755
516	0.1363142083
517	0.1362576806
518	0.1361938467
519	0.1361266508
520	0.1360370855
521	0.1359566393
522	0.1358893665
523	0.1358277739
524	0.1357569633
525	0.1357060939
526	0.135643073
527	0.1355843809
528	0.1354956836
529	0.1354410457
530	0.1353693122
531	0.1352986224
532	0.1352065961
533	0.1351759536
534	0.1351348076
535	0.1350772252
536	0.1350188957
537	0.1349606541
538	0.1348943481
539	0.1348122759
540	0.1347368618
541	0.1346669521
542	0.1346009537
543	0.1345504359
544	0.1344859208
545	0.134429536
546	0.1343578244
547	0.1342815314
548	0.1342152913
549	0.1341729697
550	0.1340991706
551	0.134045203
552	0.1339887522
553	0.1339521219
554	0.1338927486
555	0.1338304309
556	0.1337609057
557	0.1337268573
558	0.1336502895
559	0.1335994201
560	0.1335351028
561	0.1334830029
562	0.1334441531
563	0.133381319
564	0.1332997522
565	0.1332056384
566	0.1331372339
567	0.1330799481
568	0.1330299357
569	0.1329706504
570	0.1329075416
571	0.1328384339
572	0.1327784893
573	0.1327325421
574	0.1326875837
575	0.1326172235
576	0.1325651016
577	0.1325254059
578	0.1324573969
579	0.132388498
580	0.1323350577
581	0.1322648843
582	0.1321865477
583	0.1321229774
