iter	Passed	Remaining
0	63	223928
1	104	183432
2	145	169585
3	180	157979
4	216	151352
5	254	148182
6	288	144141
7	323	141364
8	355	138040
9	387	135191
10	421	133721
11	456	132616
12	487	130901
13	520	129658
14	554	128876
15	588	128191
16	621	127412
17	655	126930
18	689	126366
19	728	126874
20	766	127074
21	801	126684
22	836	126473
23	871	126316
24	906	125976
25	945	126331
26	979	126008
27	1014	125857
28	1049	125639
29	1083	125353
30	1119	125291
31	1155	125233
32	1192	125297
33	1226	125084
34	1264	125223
35	1300	125155
36	1337	125208
37	1374	125268
38	1408	125054
39	1447	125231
40	1486	125427
41	1523	125490
42	1558	125363
43	1595	125319
44	1629	125179
45	1664	125010
46	1699	124877
47	1740	125224
48	1777	125225
49	1811	125037
50	1847	124979
51	1882	124842
52	1922	125077
53	1956	124897
54	1994	124954
55	2026	124681
56	2062	124614
57	2096	124452
58	2128	124202
59	2162	123997
60	2196	123854
61	2232	123848
62	2268	123772
63	2303	123705
64	2341	123775
65	2378	123768
66	2417	123885
67	2452	123791
68	2485	123602
69	2521	123601
70	2559	123652
71	2595	123605
72	2635	123766
73	2676	123936
74	2714	124004
75	2749	123896
76	2782	123743
77	2818	123701
78	2850	123479
79	2885	123372
80	2922	123400
81	2958	123370
82	2994	123329
83	3027	123146
84	3058	122928
85	3092	122810
86	3126	122675
87	3161	122614
88	3195	122513
89	3230	122448
90	3266	122421
91	3301	122352
92	3334	122185
93	3373	122259
94	3410	122283
95	3444	122161
96	3481	122164
97	3516	122105
98	3555	122181
99	3592	122166
100	3629	122164
101	3662	122057
102	3697	121996
103	3731	121878
104	3763	121732
105	3798	121656
106	3832	121577
107	3864	121424
108	3898	121316
109	3933	121273
110	3970	121246
111	4005	121215
112	4041	121177
113	4085	121388
114	4119	121300
115	4151	121140
116	4188	121146
117	4226	121183
118	4260	121088
119	4295	121025
120	4331	121002
121	4366	120931
122	4400	120849
123	4437	120846
124	4482	121064
125	4518	121031
126	4554	121007
127	4588	120908
128	4622	120821
129	4659	120818
130	4694	120777
131	4730	120736
132	4764	120661
133	4801	120645
134	4834	120546
135	4867	120435
136	4902	120375
137	4940	120392
138	4974	120318
139	5006	120201
140	5040	120116
141	5073	120022
142	5107	119929
143	5144	119927
144	5180	119913
145	5212	119784
146	5245	119673
147	5278	119585
148	5315	119582
149	5350	119541
150	5387	119532
151	5425	119529
152	5456	119399
153	5491	119350
154	5530	119390
155	5564	119317
156	5595	119170
157	5630	119127
158	5664	119067
159	5699	119020
160	5730	118891
161	5764	118815
162	5800	118778
163	5833	118696
164	5865	118595
165	5901	118558
166	5934	118471
167	5972	118487
168	6002	118353
169	6037	118300
170	6070	118205
